sec_code,weight,trade_date
000066.SZ,0.0114061041772943,2018-05-02
300595.SZ,0.0118301032315465,2018-05-02
300579.SZ,0.0081809658168612,2018-05-02
300576.SZ,0.0101411384859096,2018-05-02
300559.SZ,0.0060154239818489,2018-05-02
300532.SZ,0.004221845262052,2018-05-02
300527.SZ,0.0182089236865928,2018-05-02
300525.SZ,0.0108246678654429,2018-05-02
300523.SZ,0.0151337933539782,2018-05-02
300448.SZ,0.0016268626048473,2018-05-02
300416.SZ,0.0111446119878888,2018-05-02
300384.SZ,0.0104028865189008,2018-05-02
300378.SZ,0.0093312809636997,2018-05-02
300369.SZ,6.476551991135439e-05,2018-05-02
300367.SZ,0.008944618834636,2018-05-02
300357.SZ,0.0121662864352181,2018-05-02
300352.SZ,0.0083141840696172,2018-05-02
300339.SZ,0.0124202297699058,2018-05-02
300324.SZ,0.0033903561833026,2018-05-02
300311.SZ,0.0101381010765126,2018-05-02
300310.SZ,0.0056825445831459,2018-05-02
300308.SZ,0.0027781896011177,2018-05-02
300302.SZ,0.0030982611236864,2018-05-02
300297.SZ,0.0037860131595172,2018-05-02
300287.SZ,0.0065972864028661,2018-05-02
300271.SZ,0.0004819275153857,2018-05-02
300253.SZ,0.0042528246108236,2018-05-02
300252.SZ,0.0045770093060722,2018-05-02
300600.SZ,0.0014242949535642,2018-05-02
300233.SZ,0.0113066744523937,2018-05-02
600072.SH,0.0104225228268166,2018-05-02
600206.SH,0.0003687960491467,2018-05-02
603990.SH,0.0044442488146607,2018-05-02
603928.SH,0.0179773380159022,2018-05-02
603660.SH,0.0094997377676333,2018-05-02
603636.SH,0.0035857663559527,2018-05-02
603611.SH,0.0177173594103217,2018-05-02
603456.SH,0.0130557459783385,2018-05-02
603239.SH,0.0023294691767051,2018-05-02
603039.SH,0.0117482079701835,2018-05-02
603025.SH,0.0163940801142053,2018-05-02
603019.SH,0.000619109273093,2018-05-02
603017.SH,0.0052749549603523,2018-05-02
600893.SH,0.0072528301288432,2018-05-02
600850.SH,0.0061923472996542,2018-05-02
600765.SH,0.0090369640598503,2018-05-02
600756.SH,0.013619322562864,2018-05-02
600718.SH,0.006977403946007,2018-05-02
600570.SH,0.0024951130088123,2018-05-02
600545.SH,0.0141464712727896,2018-05-02
600482.SH,0.0126414471754506,2018-05-02
600480.SH,0.0169909258699361,2018-05-02
600420.SH,0.0054350011056091,2018-05-02
600410.SH,0.0023585177081388,2018-05-02
600391.SH,0.0159817169474656,2018-05-02
600372.SH,0.0119084883931863,2018-05-02
600351.SH,0.0125416778100481,2018-05-02
600271.SH,0.0144869109638,2018-05-02
600211.SH,0.0075898775189705,2018-05-02
600184.SH,0.0113642404347103,2018-05-02
300229.SZ,0.0005754664805282,2018-05-02
300468.SZ,0.0039117190030364,2018-05-02
300213.SZ,0.0116466798459915,2018-05-02
002416.SZ,0.0037825160075122,2018-05-02
002413.SZ,0.0115324707690059,2018-05-02
002410.SZ,0.0101376712838033,2018-05-02
002383.SZ,0.0074052392042368,2018-05-02
002380.SZ,0.0056168971482109,2018-05-02
002376.SZ,0.0007362635482463,2018-05-02
002368.SZ,0.0047221294985211,2018-05-02
002279.SZ,0.0180986555421506,2018-05-02
002230.SZ,0.0038408960373503,2018-05-02
002212.SZ,0.0104707516475765,2018-05-02
002195.SZ,0.0184701754322008,2018-05-02
002163.SZ,0.0169812634554959,2018-05-02
002153.SZ,0.0040587437869692,2018-05-02
002152.SZ,0.00426208579501,2018-05-02
002115.SZ,0.0086485987074475,2018-05-02
002111.SZ,0.0089304887891377,2018-05-02
002095.SZ,0.0054308489340066,2018-05-02
002013.SZ,0.0137633568386203,2018-05-02
300218.SZ,0.0029731823417998,2018-05-02
000977.SZ,0.0067695026475738,2018-05-02
000938.SZ,0.007332265599825,2018-05-02
000901.SZ,0.0007121905372394,2018-05-02
000768.SZ,0.0040150067142131,2018-05-02
000733.SZ,0.0184328806746777,2018-05-02
000636.SZ,0.002510465728422,2018-05-02
000561.SZ,0.000300244507644,2018-05-02
000070.SZ,0.0065925805374724,2018-05-02
002433.SZ,0.0173908429592657,2018-05-02
002439.SZ,0.0001677349302058,2018-05-02
000997.SZ,0.0046604993498296,2018-05-02
002519.SZ,0.0125475713164692,2018-05-02
002481.SZ,0.0166617602042909,2018-05-02
300212.SZ,0.0149781367005531,2018-05-02
300188.SZ,7.075678105330172e-05,2018-05-02
300180.SZ,0.0182518709199909,2018-05-02
300170.SZ,0.0116796618579325,2018-05-02
300166.SZ,0.0183297754678969,2018-05-02
300142.SZ,0.0139265437774351,2018-05-02
300130.SZ,0.0011746745563969,2018-05-02
300114.SZ,0.0033530236314636,2018-05-02
300101.SZ,0.0093756096487429,2018-05-02
300098.SZ,0.0010603313741556,2018-05-02
300078.SZ,0.0076053715525327,2018-05-02
