sec_code,weight,trade_date
000001.SZ,0.0116771137528847,2018-02-07
600787.SH,0.0103862938356065,2018-02-07
600808.SH,0.0071578929242559,2018-02-07
600997.SH,0.0080189416134582,2018-02-07
601009.SH,0.0039729627436906,2018-02-07
601128.SH,0.0174241175155728,2018-02-07
601166.SH,0.0257623428057631,2018-02-07
601169.SH,0.0250814269944594,2018-02-07
601225.SH,0.0075753965348588,2018-02-07
601229.SH,0.0280746769676335,2018-02-07
601288.SH,0.0101211342104578,2018-02-07
601318.SH,0.0328889434162668,2018-02-07
600720.SH,0.0312028160970576,2018-02-07
601328.SH,0.0300823712624401,2018-02-07
601377.SH,0.0248101802009911,2018-02-07
601600.SH,0.0001595450233549,2018-02-07
601666.SH,0.0213344937028685,2018-02-07
601699.SH,0.0017247771261145,2018-02-07
601818.SH,0.0226156155916099,2018-02-07
601939.SH,0.0138556609535601,2018-02-07
601988.SH,0.0340413992048183,2018-02-07
601997.SH,0.0299179136618064,2018-02-07
601998.SH,0.0058915554124132,2018-02-07
603313.SH,0.0341382142933476,2018-02-07
603323.SH,0.0278245116098383,2018-02-07
601333.SH,0.0111613710145201,2018-02-07
600643.SH,0.0328182380839154,2018-02-07
601398.SH,0.0321477986960294,2018-02-07
600389.SH,0.0248387932691181,2018-02-07
600622.SH,0.023045018418244,2018-02-07
000402.SZ,0.0314953134869162,2018-02-07
000426.SZ,0.0025506275131677,2018-02-07
000596.SZ,0.0280820498861416,2018-02-07
000671.SZ,0.0209217484630152,2018-02-07
000776.SZ,0.0021207719188906,2018-02-07
000937.SZ,0.0145085757243674,2018-02-07
000959.SZ,0.0263541127805293,2018-02-07
000960.SZ,0.0102197194273943,2018-02-07
000975.SZ,0.01677862416916,2018-02-07
002142.SZ,0.0175416431804679,2018-02-07
002203.SZ,0.0309246866450462,2018-02-07
000898.SZ,0.0050952283362196,2018-02-07
002597.SZ,0.0015519289986078,2018-02-07
600282.SH,0.0005642771145297,2018-02-07
002588.SZ,0.0107920192238382,2018-02-07
600188.SH,0.0022721672300107,2018-02-07
600036.SH,0.0108992891776575,2018-02-07
600030.SH,0.0274366110854857,2018-02-07
600015.SH,0.0266730074777865,2018-02-07
600016.SH,0.0315220631430911,2018-02-07
600000.SH,0.0314289331787625,2018-02-07
300469.SZ,0.0171600397188277,2018-02-07
300433.SZ,0.0239771741774203,2018-02-07
300238.SZ,0.0193778710057083,2018-02-07
300523.SZ,0.0277243840084178,2018-02-14
300559.SZ,0.0103273276268109,2018-02-14
300550.SZ,0.0198611111335561,2018-02-14
600161.SH,0.0016574176726472,2018-02-14
600050.SH,0.021098667213078,2018-02-14
300476.SZ,0.0209116585760416,2018-02-14
300383.SZ,0.014422100319313,2018-02-14
300463.SZ,0.0001682577898717,2018-02-14
300448.SZ,0.0009086789419848,2018-02-14
300447.SZ,0.0292332877093113,2018-02-14
300369.SZ,0.0056650786122856,2018-02-14
600197.SH,0.0294629893712422,2018-02-14
300296.SZ,0.0034029928677462,2018-02-14
300474.SZ,0.0086321418892324,2018-02-14
600260.SH,0.0242257607557344,2018-02-14
601231.SH,0.0079797893516699,2018-02-14
600338.SH,0.0257462856913552,2018-02-14
300294.SZ,0.0287030955453704,2018-02-14
603025.SH,0.0012510375247906,2018-02-14
601985.SH,0.0315766273469553,2018-02-14
601965.SH,0.0059379468037767,2018-02-14
600990.SH,0.0138160629711895,2018-02-14
600967.SH,0.0121719127322602,2018-02-14
600312.SH,0.0153348252915835,2018-02-14
600893.SH,0.0009422699516879,2018-02-14
600835.SH,0.0032421360430466,2018-02-14
600789.SH,0.018845081101987,2018-02-14
600703.SH,0.0273061878988375,2018-02-14
600667.SH,0.0043485317440866,2018-02-14
600570.SH,0.0050261895591145,2018-02-14
600406.SH,0.0325489141276477,2018-02-14
600879.SH,0.0087322465314355,2018-02-14
300290.SZ,0.0276422764526788,2018-02-14
002403.SZ,0.0327176711343984,2018-02-14
300219.SZ,0.0159704144985638,2018-02-14
000028.SZ,0.0288800631410045,2018-02-14
300271.SZ,0.0177808701384845,2018-02-14
000488.SZ,0.0074299106273558,2018-02-14
000733.SZ,0.0083002418166998,2018-02-14
000901.SZ,0.0208594325269286,2018-02-14
000977.SZ,0.0213795948703681,2018-02-14
002022.SZ,0.0004185896981742,2018-02-14
002027.SZ,0.0044724488603347,2018-02-14
002036.SZ,0.0071000828320855,2018-02-14
002095.SZ,0.0207036087513559,2018-02-14
002127.SZ,0.0291634351393501,2018-02-14
002153.SZ,0.0114904723598046,2018-02-14
002179.SZ,0.0139107697967549,2018-02-14
002202.SZ,0.0219045301441626,2018-02-14
002203.SZ,0.0105197813958884,2018-02-14
000063.SZ,0.0150200448745338,2018-02-14
002271.SZ,0.0245139933292294,2018-02-14
002242.SZ,0.0133760848762228,2018-02-14
300199.SZ,0.0291346003895831,2018-02-14
300101.SZ,0.0004825266682117,2018-02-14
300036.SZ,0.017563621487564,2018-02-14
300020.SZ,0.0028891189970225,2018-02-14
300009.SZ,0.0015210383323448,2018-02-14
300003.SZ,0.0191551417354738,2018-02-14
300204.SZ,0.013115617445779,2018-02-14
002465.SZ,0.0329000846622518,2018-02-14
002413.SZ,0.0024229036830402,2018-02-14
002313.SZ,0.0260143172810496,2018-02-14
002281.SZ,0.0062055704366101,2018-02-14
002279.SZ,0.010777901668814,2018-02-14
002466.SZ,0.0230522452438054,2018-02-14
600115.SH,0.0238198127512923,2018-02-28
600029.SH,0.0283307679558253,2018-02-28
300545.SZ,0.0183451092426611,2018-02-28
300474.SZ,0.0003307001372806,2018-02-28
300461.SZ,0.0094383104332024,2018-02-28
300327.SZ,0.0019849976778936,2018-02-28
300373.SZ,0.0043003816524894,2018-02-28
300323.SZ,0.0005398663983896,2018-02-28
300284.SZ,0.0323730136027042,2018-02-28
300251.SZ,0.0247046606431727,2018-02-28
600118.SH,0.0282848977400172,2018-02-28
300236.SZ,0.0097518052208459,2018-02-28
300455.SZ,0.0340207926949057,2018-02-28
600172.SH,0.0269943016704723,2018-02-28
600566.SH,0.028079002619935,2018-02-28
600352.SH,0.0301601359395576,2018-02-28
600482.SH,0.0226121792986576,2018-02-28
600487.SH,0.0246944907546528,2018-02-28
600562.SH,0.0002081510982041,2018-02-28
600563.SH,0.0320813726903288,2018-02-28
600584.SH,0.0033028648795055,2018-02-28
600667.SH,0.0164398426817007,2018-02-28
600703.SH,0.0116910080476543,2018-02-28
600835.SH,0.0274330362829775,2018-02-28
600879.SH,0.0150359803784635,2018-02-28
601966.SH,0.0183890875744622,2018-02-28
603678.SH,0.0172475724235382,2018-02-28
300232.SZ,0.0174956948528658,2018-02-28
600216.SH,0.0168737451710664,2018-02-28
300182.SZ,0.0274030727323065,2018-02-28
002384.SZ,0.0070406712232206,2018-02-28
300115.SZ,0.0297291570811597,2018-02-28
000050.SZ,0.0137971960716852,2018-02-28
000528.SZ,0.0056866617182243,2018-02-28
000960.SZ,0.0308325185107197,2018-02-28
002009.SZ,0.0271942746336989,2018-02-28
002045.SZ,0.0063418765514093,2018-02-28
002120.SZ,0.0224102456498918,2018-02-28
002138.SZ,0.0318353832105128,2018-02-28
002183.SZ,0.0230693430832612,2018-02-28
002185.SZ,0.0055509351703407,2018-02-28
002191.SZ,0.0315089755464773,2018-02-28
002203.SZ,0.0268878994135166,2018-02-28
002215.SZ,0.0107856819530534,2018-02-28
002241.SZ,0.0035328231546879,2018-02-28
002313.SZ,0.0117871088500372,2018-02-28
300166.SZ,0.0020005676743584,2018-02-28
002371.SZ,0.0027766573889412,2018-02-28
002326.SZ,0.0052244253424383,2018-02-28
300098.SZ,0.0004202411709351,2018-02-28
300054.SZ,0.0187009423155503,2018-02-28
300036.SZ,0.0156303945607565,2018-02-28
002654.SZ,0.0070281661721712,2018-02-28
002587.SZ,0.0098616962802918,2018-02-28
002745.SZ,0.0101975170378968,2018-02-28
002456.SZ,0.004337873325197,2018-02-28
002449.SZ,0.0202973722038367,2018-02-28
002408.SZ,0.0090348652098729,2018-02-28
002389.SZ,0.0233943993630938,2018-02-28
002475.SZ,0.0307374748857319,2018-02-28
300367.SZ,0.0089097980302866,2018-03-07
300401.SZ,0.0046174644764975,2018-03-07
300396.SZ,0.0030413704050331,2018-03-07
300406.SZ,0.0204978988442414,2018-03-07
300378.SZ,0.0154120496561506,2018-03-07
300357.SZ,0.0055436636648213,2018-03-07
300271.SZ,0.0026017769255229,2018-03-07
300349.SZ,0.0234331988720022,2018-03-07
300339.SZ,0.0072406191122062,2018-03-07
300326.SZ,0.0015968451082185,2018-03-07
300310.SZ,0.0324561360200956,2018-03-07
300415.SZ,0.0144830677604116,2018-03-07
300259.SZ,0.0311447612129427,2018-03-07
300350.SZ,0.0011303279829889,2018-03-07
300439.SZ,0.0334769137831332,2018-03-07
600276.SH,0.0100178842572393,2018-03-07
300577.SZ,0.0227032148693268,2018-03-07
603900.SH,0.0169777921037299,2018-03-07
603866.SH,0.0338430064807356,2018-03-07
300238.SZ,0.031213135991081,2018-03-07
603108.SH,0.0147229929940268,2018-03-07
